nombre,marca,serial,Estado
test,RS,1A2B3C4D,asignado a PC-Master
monitor,HP,CNC333PD2B,asignado a PC-A
mouse,HP,FCGLH0DHD5NB8U,asignado a PC-A
teclado,HP,BDAEV0QVB5H8R2,asignado a PC-A
monitor,HP,CNC333PD8R,asignado a PC-B
mouse,HP,FCGLH0DHD5NC0A,asignado a PC-B
teclado,HP,BDAEV0QVB5H81Z,asignado a PC-B
monitor,HP,CNC333P3G9,asignado a PC-D
mouse,HP,FCGLH0DHD5M540,asignado a PC-D
teclado,HP,BDAEV0QVB5H74Y,asignado a PC-D
monitor,HP,CNC333PD2L,asignado a PC-E
mouse,HP,FCGLH0DHD5M54Y,asignado a PC-E
teclado,HP,BDAEV0QVB5H75O,asignado a PC-E
monitor,HP,CNC333P3GW,asignado a PC-F
mouse,HP,FCGLH0DHD5M54E,asignado a PC-F
teclado,HP,BDAEV0QVB5H760,asignado a PC-F
monitor,HP,CNC337NGHG,asignado a PC-G
mouse,HP,FCGLH0DHD5M547,asignado a PC-G
teclado,HP,BDAEV0QVB5H77I,asignado a PC-G
monitor,HP,CNC337NWHJ,asignado a PC-H
mouse,HP,FCGLH0DHD5M54S,asignado a PC-H
teclado,HP,BDAEV0QVB5H76D,asignado a PC-H
monitor,HP,CNC337NVHP,asignado a PC-I
teclado,HP,BDAEV0QB5H6TL,asignado a PC-I
monitor,HP,CNC337NWH2,asignado a PC-J
mouse,HP,FCGLH0DHD5M32L,asignado a PC-J
teclado,HP,BDAEV0QVB5H82D,asignado a PC-J
monitor,HP,CNC333PD225,asignado a PC-K
mouse,HP,FCGLH0DHD5M2SY,asignado a PC-K
teclado,HP,BDAEV0QVB5H7QX,asignado a PC-K
monitor,HP,CNC333PD8M,asignado a PC-L
mouse,HP,FCGLH0DHD5M332,asignado a PC-L
teclado,HP,BDAEV0QVB5H81B,asignado a PC-L
monitor,HP,CNC337NVD4,asignado a PC-M
mouse,HP,FCGLH0DHD5M32B,asignado a PC-M
teclado,HP,BDAEV0QVB5H82J,asignado a PC-M
monitor,HP,CNC333PD92,asignado a PC-N
mouse,HP,FCGLH0DHD5M314,asignado a PC-N
teclado,HP,BDAEV0QVB5H7QQ,asignado a PC-N
monitor,HP,CNC33PD28,asignado a PC-O
mouse,HP,FCGLH0DHD5M2SV,asignado a PC-O
mouse,HP,FCGLH0DHDM54G,asignado a PC-I
teclado,HP,BDAEV0QVB5H81H,asignado a PC-O
monitor,HP,CNC333PD2C,asignado a PC-P
mouse,HP,FCGLH0DHD5M32M,asignado a PC-P
monitor,HP,CNC336Q1WC,asignado a PC-C
mouse,HP,FCGLH0DHD5N54P,asignado a PC-C
teclado,HP,BDAEV0QVB5H774,asignado a PC-C
monitor,HP,CNC337NVD2,no asignado
mouse,HP,FCGLH0DHD5K2B8,no asignado
teclado,HP,BDAEV0QVB5H8AU,no asignado
monitor,HP,CNC333PD8Y,no asignado
mouse,HP,FCGLH0DHD5NC2N,no asignado
teclado,HP,BDAEV0QVB5H8EF,no asignado
monitor,HP,CNC337NVT1,no asignado
mouse,HP,FCGLH0DHD5NCXI,no asignado
teclado,HP,BDAEV0QVB5H85F,no asignado
teclado,HP,BDAEV0QVB5H83Q,asignado a PC-P
mouse,HP,,no asignado
teclado,HP,,no asignado
monitor,HP,,no asignado
