nombre,usuarios,IP,Equipos
PC-Master,"[""user"",""root""]",10.10.10.1,"[{""monitor"":""MONITORSERIALMASTER"",""mouse"":""MOUSESERIALMASTER"",""teclado"":""KEYBOARDSERIALMASTER""}]"
PC-B,"[""estudiante"",""admin""]",192.168.1.2,"[{""monitor"":""CNC333PD8R"",""mouse"":""FCGLH0DHD5NC0A"",""teclado"":""BDAEV0QVB5H81Z""}]"
PC-A,"[""estudiante"",""admin""]",192.168.1.1,"[{""monitor"":""CNC333PD2B"",""mouse"":""FCGLH0DHD5NB8U"",""teclado"":""BDAEV0QVB5H8R2""}]"
PC-C,"[""estudiante"",""admin""]",192.168.1.3,"[{""monitor"":""CNC336Q1WC"",""mouse"":""FCGLH0DHD5N54P"",""teclado"":""BDAEV0QVB5H774""}]"
PC-D,"[""estudiante"",""admin""]",192.168.1.4,"[{""monitor"":""CNC333P3G9"",""mouse"":""BDAEV0QVB5H74Y"",""teclado"":""FCGLH0DHD5M540""}]"
PC-E,"[""estudiante"",""admin""]",192.168.1.5,"[{""monitor"":""CNC333PD2L"",""mouse"":""FCGLH0DHD5M54Y"",""teclado"":""BDAEV0QVB5H75O""}]"
PC-G,"[""estudiante"",""admin""]",192.168.1.7,"[{""monitor"":""CNC337NGHG"",""mouse"":""FCGLH0DHD5M547"",""teclado"":""BDAEV0QVB5H77I""}]"
PC-H,"[""estudiante"",""admin""]",192.168.1.8,"[{""monitor"":""CNC337NWHJ"",""mouse"":""FCGLH0DHD5M54S"",""teclado"":""BDAEV0QVB5H76D""}]"
PC-I,"[""estudiante"",""admin""]",192.168.1.9,"[{""monitor"":""CNC337NVHP"",""mouse"":""FCGLH0DHDM54G"",""teclado"":""BDAEV0QB5H6TL""}]"
PC-F,"[""estudiante"",""admin""]",192.168.1.6,"[{""monitor"":""CNC333P3GW"",""mouse"":""FCGLH0DHD5M54E"",""teclado"":""BDAEV0QVB5H760""}]"
PC-J,"[""estudiante"",""admin""]",192.168.1.10,"[{""monitor"":""CNC337NWH2"",""mouse"":""FCGLH0DHD5M32L"",""teclado"":""BDAEV0QVB5H82D""}]"
PC-L,"[""estudiante"",""admin""]",192.168.1.12,"[{""monitor"":""CNC333PD8M"",""mouse"":""FCGLH0DHD5M332"",""teclado"":""BDAEV0QVB5H81B""}]"
PC-K,"[""estudiante"",""admin""]",192.168.1.11,"[{""monitor"":""CNC333PD225"",""mouse"":""FCGLH0DHD5M2SY"",""teclado"":""BDAEV0QVB5H7QX""}]"
PC-N,"[""estudiante"",""admin""]",192.168.1.14,"[{""monitor"":""CNC333PD92"",""mouse"":""FCGLH0DHD5M314"",""teclado"":""BDAEV0QVB5H7QQ""}]"
PC-M,"[""estudiante"",""admin""]",192.168.1.13,"[{""monitor"":""CNC337NVD4"",""mouse"":""FCGLH0DHD5M32B"",""teclado"":""BDAEV0QVB5H82J""}]"
PC-O,"[""estudiante"",""admin""]",192.168.1.15,"[{""monitor"":""CNC33PD28"",""mouse"":""FCGLH0DHD5M2SV"",""teclado"":""BDAEV0QVB5H81H""}]"
PC-P,"[""estudiante"",""admin""]",192.168.1.16,"[{""monitor"":""CNC333PD2C"",""mouse"":""FCGLH0DHD5M32M"",""teclado"":""BDAEV0QVB5H83Q""}]"
